"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
35,-168,84,0.425787218838471
35,-168,86,0.394442432881712
35,-168,88,0.366231961369035
35,-168,90,0.340933229006238
35,-168,92,0.318333272180569
35,-168,94,0.298227834872692
35,-168,96,0.280420329206196
35,-168,98,0.264720737090229
35,-168,100,0.250944527047877
35,-168,102,0.238911657554299
35,-168,104,0.228445734604656
35,-168,106,0.219373386296426
35,-168,108,0.211523910434375
35,-168,110,0.204729242082504
35,-168,112,0.198824276232586
35,-168,114,0.193647566130864
35,-168,116,0.189042400316976
35,-168,118,0.184858241357222
35,-168,120,0.180952487169401
35,-168,122,0.177192492623406
35,-168,124,0.173457765955516
35,-168,126,0.169642232928911
35,-168,128,0.165656443300533
35,-168,130,0.161429580827105
35,-168,132,0.156911131559929
35,-168,134,0.152072067157296
35,-168,136,0.146905411631145
35,-168,138,0.141426082014602
35,-168,140,0.135669925805012
35,-168,142,0.129691919716417
35,-168,144,0.12356354330574
35,-168,146,0.117369394508826
35,-168,148,0.11120316831838
35,-168,150,0.105163170488198
35,-168,152,0.0993475808025622
35,-168,154,0.0938497108993161
35,-168,156,0.0887535163807592
35,-168,158,0.0841296196238603
35,-168,160,0.0800320774196479
35,-168,162,0.0764960871116093
35,-168,164,0.0735367687403788
35,-168,166,0.0711490928444071
35,-168,168,0.0693089492135316
35,-168,170,0.067975276955836
35,-168,172,0.0670931067722796
35,-168,174,0.0665973079440133
35,-168,176,0.0664167898354925
35,-168,178,0.0664788838826368
35,-168,180,0.0667136285396421
35,-166,0,4.82413308903292
35,-166,2,4.82510798292356
35,-166,4,4.80611755126709
35,-166,6,4.76750863152134
35,-166,8,4.70991324780783
35,-166,10,4.63422875744317
35,-166,12,4.54159136435097
35,-166,14,4.43334416222068
35,-166,16,4.31100103594853
35,-166,18,4.17620784475264
35,-166,20,4.03070233352837
35,-166,22,3.87627417369834
35,-166,24,3.71472642795744
35,-166,26,3.54783957504017
35,-166,28,3.37733903347013
35,-166,30,3.20486690114309
35,-166,32,3.03195839485838
35,-166,34,2.86002324415418
35,-166,36,2.69033207896955
35,-166,38,2.52400766032075
35,-166,40,2.3620206440984
35,-166,42,2.20518944408687
35,-166,44,2.05418367243566
35,-166,46,1.90953058275961
35,-166,48,1.77162391966819
35,-166,50,1.64073458443986
35,-166,52,1.51702255471478
35,-166,54,1.40054954123771
35,-166,56,1.29129192179603
35,-166,58,1.18915355695624
35,-166,60,1.09397815999231
35,-166,62,1.00556096116058
35,-166,64,0.923659471511979
35,-166,66,0.8480032116838
35,-166,68,0.778302325110333
35,-166,70,0.714255041905273
35,-166,72,0.655553998850548
35,-166,74,0.601891452452184
35,-166,76,0.552963446228001
35,-166,78,0.508473010898132
35,-166,80,0.468132487796168
35,-166,82,0.43166507258162
35,-166,84,0.39880567924863
35,-166,86,0.369301224511916
35,-166,88,0.34291043084894
35,-166,90,0.319403243591126
35,-166,92,0.29855995411273
35,-166,94,0.280170117784313
35,-166,96,0.264031352142758
35,-166,98,0.249948097672025
35,-166,100,0.23773042048456
35,-166,102,0.227192932675915
35,-166,104,0.218153901709285
35,-166,106,0.21043461432141
35,-166,108,0.203859052570546
35,-166,110,0.198253929273284
35,-166,112,0.193449116825869
35,-166,114,0.189278487087374
35,-166,116,0.185581160667166
35,-166,118,0.182203141942729
35,-166,120,0.178999292089757
35,-166,122,0.175835567321246
35,-166,124,0.172591424721369
35,-166,126,0.169162275134803
35,-166,128,0.165461843377212
35,-166,130,0.161424282543663
35,-166,132,0.157005883374146
35,-166,134,0.152186223262308
35,-166,136,0.14696861393218
35,-166,138,0.141379732789945
35,-166,140,0.135468360361113
35,-166,142,0.129303193894868
35,-166,144,0.12296976287875
35,-166,146,0.116566532475205
35,-166,148,0.110200341439044
35,-166,150,0.103981376936338
35,-166,152,0.0980179346969882
35,-166,154,0.0924112442636208
35,-166,156,0.0872506518115881
